:Data_list: ace_mag_1m.txt
:Created: 2017 Apr 26 1008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2017 04 26  0808   57869   29280    0     2.9    -3.0    -0.4     4.2    -5.9   314.4
2017 04 26  0809   57869   29340    0     2.8    -3.3    -0.7     4.4    -8.6   310.8
2017 04 26  0810   57869   29400    0     2.7    -3.4    -0.7     4.4    -9.1   308.8
2017 04 26  0811   57869   29460    0     2.8    -3.3    -0.6     4.4    -8.0   310.8
2017 04 26  0812   57869   29520    0     3.0    -3.3    -0.6     4.5    -7.7   312.5
2017 04 26  0813   57869   29580    0     3.4    -2.8    -0.4     4.4    -5.4   320.0
2017 04 26  0814   57869   29640    0     3.5    -2.5    -0.2     4.4    -2.9   324.3
2017 04 26  0815   57869   29700    0     3.6    -2.5     0.1     4.4     0.7   325.7
2017 04 26  0816   57869   29760    0     3.6    -2.5    -0.1     4.4    -1.0   325.9
2017 04 26  0817   57869   29820    0     3.6    -2.4    -0.1     4.3    -1.3   326.0
2017 04 26  0818   57869   29880    0     3.4    -2.5    -0.1     4.3    -1.4   323.4
2017 04 26  0819   57869   29940    0     3.4    -2.6    -0.2     4.3    -2.6   322.4
2017 04 26  0820   57869   30000    0     3.4    -2.7    -0.1     4.3    -1.2   321.6
2017 04 26  0821   57869   30060    0     3.4    -2.7    -0.1     4.4    -1.5   321.1
2017 04 26  0822   57869   30120    0     3.5    -2.5     0.0     4.3     0.2   324.4
2017 04 26  0823   57869   30180    0     3.4    -2.5    -0.1     4.2    -1.3   324.0
2017 04 26  0824   57869   30240    0     3.1    -2.9    -0.3     4.3    -4.4   317.1
2017 04 26  0825   57869   30300    0     3.0    -3.1    -0.5     4.3    -6.1   313.7
2017 04 26  0826   57869   30360    0     2.7    -3.3    -0.5     4.3    -7.1   309.6
2017 04 26  0827   57869   30420    0     2.7    -3.3    -0.4     4.3    -6.0   309.4
2017 04 26  0828   57869   30480    0     2.6    -3.3    -0.5     4.3    -6.3   308.1
2017 04 26  0829   57869   30540    0     2.8    -3.2    -0.3     4.3    -4.4   311.5
2017 04 26  0830   57869   30600    0     3.4    -2.6    -0.0     4.3    -0.3   322.9
2017 04 26  0831   57869   30660    0     3.4    -2.6    -0.0     4.3    -0.2   322.1
2017 04 26  0832   57869   30720    0     3.2    -2.8    -0.5     4.2    -6.5   318.8
2017 04 26  0833   57869   30780    0     3.3    -2.7    -0.4     4.3    -4.9   320.9
2017 04 26  0834   57869   30840    0     3.2    -2.8    -0.4     4.3    -4.8   318.7
2017 04 26  0835   57869   30900    0     3.2    -2.8    -0.2     4.3    -2.2   318.4
2017 04 26  0836   57869   30960    0     3.0    -3.1    -0.2     4.3    -2.3   314.0
2017 04 26  0837   57869   31020    0     3.0    -3.1    -0.1     4.3    -1.5   313.9
2017 04 26  0838   57869   31080    0     3.4    -2.3     0.5     4.1     6.8   325.9
2017 04 26  0839   57869   31140    0     3.7    -1.7     0.5     4.1     6.7   334.9
2017 04 26  0840   57869   31200    0     3.1    -2.9     0.1     4.2     1.9   316.5
2017 04 26  0841   57869   31260    0     3.0    -3.1    -0.3     4.3    -3.4   314.3
2017 04 26  0842   57869   31320    0     3.6    -2.0    -0.5     4.1    -7.0   330.9
2017 04 26  0843   57869   31380    0     3.7    -1.8    -0.3     4.1    -4.9   333.9
2017 04 26  0844   57869   31440    0     3.3    -2.6    -0.6     4.2    -7.7   321.1
2017 04 26  0845   57869   31500    0     3.2    -2.4    -1.4     4.2   -18.6   323.8
2017 04 26  0846   57869   31560    0     3.3    -2.4    -1.1     4.2   -14.4   324.2
2017 04 26  0847   57869   31620    0     3.3    -2.6    -0.9     4.3   -11.7   322.6
2017 04 26  0848   57869   31680    0     2.9    -2.9    -0.9     4.2   -12.9   315.3
2017 04 26  0849   57869   31740    0     2.6    -3.3    -0.9     4.3   -12.1   308.0
2017 04 26  0850   57869   31800    0     2.3    -3.6    -0.5     4.3    -7.2   301.8
2017 04 26  0851   57869   31860    0     1.9    -3.9    -0.6     4.3    -7.6   296.2
2017 04 26  0852   57869   31920    0     1.6    -4.0    -0.7     4.4    -9.5   291.9
2017 04 26  0853   57869   31980    0     1.5    -4.1    -0.4     4.4    -4.8   290.0
2017 04 26  0854   57869   32040    0     1.4    -4.2    -0.2     4.4    -3.2   288.6
2017 04 26  0855   57869   32100    0     1.8    -4.0    -0.2     4.3    -2.4   293.8
2017 04 26  0856   57869   32160    0     2.0    -3.8    -0.1     4.3    -1.2   297.3
2017 04 26  0857   57869   32220    0     2.6    -3.4    -0.3     4.2    -4.2   307.5
2017 04 26  0858   57869   32280    0     3.0    -2.7    -0.8     4.1   -11.6   318.1
2017 04 26  0859   57869   32340    0     3.7    -1.4    -1.0     4.1   -14.7   339.2
2017 04 26  0900   57869   32400    0     3.7    -1.4    -0.7     4.1   -10.1   339.6
2017 04 26  0901   57869   32460    0     3.7    -1.5    -0.6     4.0    -8.9   337.5
2017 04 26  0902   57869   32520    0     3.8    -1.0    -1.2     4.1   -16.9   345.3
2017 04 26  0903   57869   32580    0     3.6    -1.8    -0.7     4.1    -9.2   333.3
2017 04 26  0904   57869   32640    0     3.4    -2.4    -0.3     4.1    -4.6   324.7
2017 04 26  0905   57869   32700    0     3.2    -2.5    -0.1     4.1    -1.0   321.7
2017 04 26  0906   57869   32760    0     3.3    -2.3    -0.4     4.1    -6.0   325.3
2017 04 26  0907   57869   32820    0     3.4    -2.3    -0.4     4.1    -5.4   326.5
2017 04 26  0908   57869   32880    0     3.3    -2.5    -0.1     4.1    -0.9   322.9
2017 04 26  0909   57869   32940    0     2.7    -3.1     0.6     4.2     8.6   311.1
2017 04 26  0910   57869   33000    0     2.7    -2.9     0.9     4.1    12.8   313.3
2017 04 26  0911   57869   33060    0     3.2    -2.4     0.8     4.1    11.0   323.3
2017 04 26  0912   57869   33120    0     3.2    -2.6    -0.1     4.1    -0.9   321.0
2017 04 26  0913   57869   33180    0     2.9    -2.8    -0.5     4.1    -6.8   316.2
2017 04 26  0914   57869   33240    0     3.4    -2.3    -0.2     4.1    -2.3   326.5
